Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Delta Lloyd N.V.;331214610000;000007293232;001663732;Delta Lloyd N.V.;N.V.;H;Ingeschreven;65111;Levensverzekeringen (geen herverzekeren);6512;Schadeverzekeringen (geen herverzekeren);;;Geactiveerd;Amstelplein;6;;1096BC;AMSTERDAM;Amstelplein;6;;1096BC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5949111;;Bestuurder;E.A.A.;;Roozen;M;;5788;;0;N;N;129;3/15/68;1/30/68;;1/30/68;;1/1/05;2013;Vastgesteld jaarstuk;Ernst & Young;2013;4.911.600.000;168.300.000;76.514.500.000;AMX, EuroNext;;
Eurospecialities Foods B.V.;332169870000;000018888429;009095615;Eurospecialities Foods B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Vondelstraat;89;;1054GM;AMSTERDAM;Vondelstraat;89;;1054GM;AMSTERDAM;Amsterdam;Noord-Holland;NL;;;;Bestuurder;A.J.M.;;Bongrain;M;06-53890685;22352;;1;N;N;;1/26/90;12/29/89;;12/29/89;;2/6/14;2013;Vastgesteld jaarstuk;KPMG;2012;4.888.688.000;53.429.000;3.893.059.000;;ABN AMRO;
Nielsen N.V.;342484490000;000015979415;815768485;Nielsen N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Diemerhof;2;;1112XL;DIEMEN;Postbus;276;;1110AG;DIEMEN;Diemen;Noord-Holland;NL;020;3988777;;Bestuurder;A.;;Navab;M;;40000;;0;N;N;7;5/17/06;5/17/06;;5/17/06;;6/24/09;2013;Vastgesteld jaarstuk;Ernst & Young;2013;4.351.959.300;564.694.000;11.850.943.000;New York;;
The Nielsen Company B.V.;340362670000;000017458234;001945713;The Nielsen Company B.V.;B.V.;H;Ingeschreven;64923;Participatiemaatschappijen;;;;;;Diemerhof;2;;1112XL;DIEMEN;Postbus;276;;1110AG;DIEMEN;Diemen;Noord-Holland;NL;020;3988777;;Bestuurder;M.J.B.;;Rutte;M;;40000;;1;N;N;;1/18/68;10/22/60;;10/22/60;;6/24/09;2013;Vastgesteld jaarstuk;Ernst & Young;2013;4.351.959.300;569.272.600;11.840.259.600;;ABN AMRO, MeesPierson;Nielsen N.V.
Enel Investment Holding B.V.;341491620000;000016646533;809641513;ENEL Investment Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;;Geactiveerd;Herengracht;471;;1017BS;AMSTERDAM;Herengracht;471;;1017BS;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5218777;;Bestuurder;A.J.M.;;Nieuwenhuizen;M;;6609;5-9;1;N;N;;1/22/01;12/15/00;;12/15/00;;4/29/10;2013;Vastgesteld jaarstuk;E&Y;2013;4.350.000.000;350.000.000;8.994.000.000;;;
UPC Holding B.V.;341369260000;000018821537;808942256;UPC Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Boeingavenue;53;;1119PE;SCHIPHOL-RIJK;Boeingavenue;53;;1119PE;SCHIPHOL-RIJK;Haarlemmermeer;Noord-Holland;NL;020;7789840;;;;;;;;14838;;0;N;N;;7/12/00;6/27/00;;6/27/00;;12/11/00;2013;Vastgesteld jaarstuk;KPMG;2013;4.298.200.000;-644.200.000;6.065.800.000;;;
Plantronics International;332774020000;000015806871;804502717;Plantronics B.V.;B.V.;H;Ingeschreven;2640;Vervaardiging van consumentenelektronica;46433;GH audio- en video-apparatuur;4652;GH elektronische/telecommunicatieapp.;;Scorpius;140;Building C;2132LR;HOOFDDORP;Scorpius;140;Building C;2132LR;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5648010;www.plantronics.com;Bestuurder;P.A.;van den;Berg;M;;222;50-99;1;J;J;;2/9/96;3/19/96;;3/19/96;3/19/96;2/16/01;2014;Vastgesteld jaarstuk;PwC;2014;4.178.651.575;8.738.741;454.831.814;;;
Svenska Handelsbanken AB (publ) Nederland;341757090000;000010215328;810912272;Svenska Handelsbanken AB;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;64194;Algemene banken;;;;;Geactiveerd;Schiphol Boulevard;135;;1118BG;SCHIPHOL;Schiphol Boulevard;135;;1118BG;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;4127600;www.handelsbanken.nl;Bestuurder;P.G.;;Ennerfelt;M;;11503;50-99;1;N;N;;6/28/02;;;;;8/1/11;2013;Buitenland;Ernst & Young;2013;4.060.268.790;1.597.752.150;278.285.616.620;Stockholm;;
Supreme Group B.V.;180361140000;000018729193;800775508;Supreme Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Schiphol Boulevard;231;;1118BH;SCHIPHOL;Schiphol Boulevard;231;;1118BH;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;5708100;;Bestuurder;J.J.;van;Ginkel;M;;8536;;0;;;;6/23/08;2/6/92;;2/6/92;;10/1/12;2012;Voorlopig jaarstuk;KPMG;2011;3.982.386.647;601.028.448;1.836.067.966;;;
Tata Steel IJmuiden B.V.;340403310000;000017561728;001707371;Tata Steel IJmuiden B.V.;B.V.;H;Ingeschreven;2410;Verv. ijzer, staal en ferrolegeringen;;;;;Geactiveerd;Wenckebachstraat;1;;1951JZ;VELSEN-NOORD;Postbus;10000;;1970CA;IJMUIDEN;Velsen;Noord-Holland;NL;0251;499111;www.tatasteel.nl;Bestuurder;T.J.;;Henrar;M;;8174;1000>;1;J;J;;6/29/72;6/28/72;;6/28/72;6/28/72;;2014;Vastgesteld jaarstuk;Deloitte;2014;3.954.000.000;132.000.000;3.272.000.000;;ABN AMRO, Rabobank, ING Bank;
Sara Lee International;301784680000;000014966778;810349693;DEMB Participations B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Oosterdoksstraat;80;;1011DK;AMSTERDAM;Postbus;2037;;1000CA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5581753;;Bestuurder;M.M.G.;;Cup;M;;13104;5-9;1;;;;7/3/12;1/23/02;;1/23/02;;7/2/12;2014;;PwC;2011;3.903.546.000;1.249.182.000;5.857.433.000;;ABN AMRO;
SHV ENERGY;300984280000;000018773990;803054233;SHV Energy N.V.;N.V.;H;Ingeschreven;70221;Organisatie-adviesbureaus;6420;Financiële holdings;;;Geactiveerd;Taurusavenue;19;;2132LS;HOOFDDORP;Taurusavenue;19;;2132LS;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5555700;;Bestuurder;J.K.;;Wilson;M;;25;20-49;1;N;N;;5/12/04;4/17/75;;4/17/75;;6/24/10;2014;;;;3.884.810.000;;;;ABN AMRO;SHV Holdings N.V.
N.V. Nuon Energy;332922460000;000014427923;806446961;N.V. Nuon Energy;N.V.;H;Ingeschreven;3514;Handel elektriciteit/gas via leidingen;6420;Financiële holdings;7112;Ingenieurs/overig techn. ontwerp/advies;;Hoekenrode;8;;1102BR;AMSTERDAM;Postbus;41920;;1009DC;AMSTERDAM;Amsterdam;Noord-Holland;NL;;;;Bestuurder;P.H.;;Smink;M;;4833;1000>;1;N;N;96;5/23/97;5/15/97;;5/15/97;;12/1/13;2012;Vastgesteld jaarstuk;E&Y;2013;3.720.000.000;-419.000.000;6.357.000.000;;ING Bank;
Constellium N.V.;343936630000;000015241424;822458056;Constellium N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Tupolevlaan;41;-61;1119NW;SCHIPHOL-RIJK;Tupolevlaan;41;-61;1119NW;SCHIPHOL-RIJK;Haarlemmermeer;Noord-Holland;NL;020;6549780;;Bestuurder;M.H.;;Nord;M;;8600;;0;N;N;1;5/14/10;5/14/10;;5/14/10;;6/1/11;2012;Vastgesteld jaarstuk;;2013;3.495.000.000;98.000.000;1.764.000.000;EuroNext, New York;;
GISA Netherlands B.V.;343671340000;000015855805;821566155;GISA Netherlands B.V.;B.V.;H;Ingeschreven;46721;Groothandel in metaalertsen;6420;Financiële holdings;;;;Muiderstraat;5;A;1011PZ;AMSTERDAM;Muiderstraat;5;A;1011PZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;F.;;Calia;N;;47;1;1;N;N;;11/27/09;10/26/09;;10/26/09;;10/1/12;2012;Vastgesteld jaarstuk;Deloitte;2012;3.403.267.339;24.123.492;1.381.779.992;;;
Prada Holding B.V.;271604340000;000019079567;807090104;Prada Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Keizersgracht;313;3e etage;1016EE;AMSTERDAM;Keizersgracht;313;3e etage;1016EE;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4232222;;Bestuurder;E.J.;;Jonker;M;;9428;;0;N;N;;12/1/97;9/10/96;;9/10/96;9/10/96;1/11/13;2013;Vastgesteld jaarstuk;Deloitte;2013;3.297.219.000;132.896.000;2.917.615.000;;;
IEOC Production B.V.;332829200000;000016926749;805018372;IEOC Production B.V.;B.V.;H;Ingeschreven;910;Dienstverl. winning aardolie en aardgas;;;;;;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;R.;;Castriota;M;;246;;0;N;N;;8/9/96;8/2/96;;8/2/96;;11/25/05;2013;Vastgesteld jaarstuk;E&Y;2013;3.273.792.098;936.431.297;5.547.248.616;;;
The Breakers Investments B.V.;342321560000;000013600893;814693192;The Breakers Investments B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;I.;;Gusev;N;;56100;;0;N;N;;8/29/05;8/10/05;;8/10/05;;12/9/13;2013;Vastgesteld jaarstuk;E&Y;2012;3.251.205.000;264.643.000;2.743.611.000;;;
Generali CEE Holding B.V.;342756880000;000001457608;818095155;Generali CEE Holding B.V.;B.V.;H;Ingeschreven;70102;Holdings (geen financiële);;;;;Geactiveerd;Diemerhof;32;;1112XN;DIEMEN;Diemerhof;32;;1112XN;DIEMEN;Diemen;Noord-Holland;NL;020;6601650;www.generalicee.com;Bestuurder;V.;;Trevisani;N;;13236;;0;N;N;;6/8/07;6/8/07;;6/8/07;;11/11/13;2013;Vastgesteld jaarstuk;PwC;2011;3.232.800.000;307.800.000;14.822.600.000;;;
Mangistau Investments B.V.;343308310000;000018501834;820544140;Mangistau Investments B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Strawinskylaan;727;WTC, Tow. B,;1077XX;AMSTERDAM;Strawinskylaan;727;WTC, Tow. B,;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7470228;;Bestuurder;Y.;;Zhao;N;020-7470229;;;0;N;N;;3/16/09;3/16/09;;3/16/09;;2/15/12;2013;Vastgesteld jaarstuk;E&Y;2013;3.225.866.366;585.270.228;2.470.570.590;;;
Universal Cargo Logistics Holding B.V.;342812570000;000006045510;818378165;Universal Cargo Logistics Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Strawinskylaan;3051;3e verdiepin;1077ZX;AMSTERDAM;Strawinskylaan;3051;3e verdiepin;1077ZX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3012181;;Bestuurder;I.;;Panfil;N;020-3012202;19000;1;0;N;N;2;8/24/07;8/23/07;;8/23/07;;6/1/12;2013;Vastgesteld jaarstuk;KPMG;2013;3.221.484.646;210.088.298;6.674.775;;;
Lexa Holding B.V.;343640030000;000001649353;821461345;Lexa Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Nieuwe Gracht;74;- 76;2011NJ;HAARLEM;Postbus;3385;;2001DJ;HAARLEM;Haarlem;Noord-Holland;NL;023;5315929;;Bestuurder;P.G.;;Ennerfelt;M;;903;;0;N;N;1;11/6/09;11/6/09;;11/6/09;;;2012;Vastgesteld jaarstuk;E&Y;2012;3.208.596.083;-72.963.497;1.067.590.855;;;
Booking.com B.V.;310473440000;000017630428;805734958;Booking.com B.V.;B.V.;H;Ingeschreven;6312;Webportals;6420;Financiële holdings;6201;Ontwikkelen/produceren/uitgeven software;Geactiveerd;Herengracht;597;;1017CE;AMSTERDAM;Herengracht;597;;1017CE;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4232850;www.booking.com;Bestuurder;R.M.;;Prakke;M;;1171;200-499;1;N;N;;9/16/97;6/23/97;;6/23/97;6/23/97;2/1/12;2013;Vastgesteld jaarstuk;Deloitte;2013;3.180.340.000;1.273.070.000;3.373.940.000;;Rabobank, ING Bank;
ING Lease Holding;330580200000;000020060157;801638987;ING Lease Holding N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Bijlmerplein;888;locatiecode;1102MG;AMSTERDAM;Postbus;1800;;1000BV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5637243;;Bestuurder;H.J.P.W.;;Brand;M;;2541;;0;N;N;;12/2/13;12/29/47;;12/29/47;11/30/72;12/1/13;2013;;Ernst & Young;2009;2.880.645.000;95.744.000;23.553.328.000;;ING Bank;ING Groep N.V.
Merck Sharp & Dohme B.V.;340284610000;000009054081;001019612;Merck Sharp & Dohme B.V.;B.V.;H;Ingeschreven;2120;Verv. farmaceutische producten;;;;;Geactiveerd;Waarderweg;39;;2031BN;HAARLEM;Postbus;581;;2003PC;HAARLEM;Haarlem;Noord-Holland;NL;023;5153153;;Bestuurder;F.R.M.;;Mattijssen;M;;1269;1000>;1;J;J;;1/30/57;11/23/54;;11/23/54;8/21/72;;2013;Vastgesteld jaarstuk;PwC;2013;2.824.000.000;375.000.000;2.286.000.000;;ABN AMRO, ING Bank;
D.E Master Blenders 1753 B.V.;547609680000;000024490539;851430211;D.E MASTER BLENDERS 1753 B.V.;B.V.;H;Ingeschreven;4637;GH koffie/thee/cacao/specer. (geen ruwe);1083;Verwerking van koffie en thee;6420;Financiële holdings;Geactiveerd;Oosterdoksstraat;80;;1011DK;AMSTERDAM;Postbus;1555;;1000BN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5581753;;Bestuurder;A.;;Santo Domingo;M;;7619;;1;N;N;;7/3/12;2/27/12;;2/27/12;;7/2/12;2013;;PwC;2012;2.795.018.000;132.191.000;2.163.988.000;;;
Randstad Holding Nederland B.V.;341267650000;000016672011;808693323;Randstad Holding Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;66292;Pensioenadv.bureaus/beheer pensioenverm.;78201;Uitzendbureaus;Geactiveerd;Diemermere;25;;1112TC;DIEMEN;Diemermere;25;;1112TC;DIEMEN;Diemen;Noord-Holland;NL;020;5695911;;Bestuurder;L.J.M.V.;;Lindelauf;M;;85100;;0;N;N;;1/12/00;12/31/99;;12/31/99;;12/31/99;2013;Vastgesteld jaarstuk;PwC;2013;2.740.900.000;83.000.000;829.300.000;;ABN AMRO;RANDSTAD HOLDING N.V.
British Americ. Tobacco Int. (Holdings) B.V.;332680880001;000021112657;803799986;British American Tobacco International (Holdings) B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Handelsweg;53;A;1181ZA;AMSTELVEEN;Postbus;246;;1180AE;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5406911;;Bestuurder;M.;;Wiechers;M;;;;0;N;N;;10/11/10;4/4/95;;4/4/95;;;2013;Vastgesteld jaarstuk;BAT;2013;2.688.491.700;2.574.174.946;6.455.912.982;;;
North Caspian Operating Company N.V.;271668100000;000018183824;806697210;North Caspian Operating Company N.V.;N.V.;H;Ingeschreven;610;Winning van aardolie;;;;;Geactiveerd;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;M.R.;;Done;M;;2948;;0;;;;9/4/08;8/29/97;;8/29/97;;9/1/08;2013;Vastgesteld jaarstuk;E&Y;2013;2.663.186.950;348.934.343;1.350.744.996;;ABN AMRO;
PPF Group N.V.;332648870000;000007772785;803440571;PPF Group N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Strawinskylaan;933;;1077XX;AMSTERDAM;Strawinskylaan;933;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;8813120;;Bestuurder;A.;;Minx;N;;69000;5-9;1;N;N;35;12/30/94;12/29/94;;12/29/94;;1/1/14;2012;Vastgesteld jaarstuk;KPMG;2013;2.657.000.000;450.000.000;20.903.000.000;;Deutsche Bank;
Danone Baby and Medical Nutrition B.V.;270906190000;000014178206;001796987;Danone Baby and Medical Nutrition B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Schiphol Boulevard;105;;1118BG;SCHIPHOL;Postbus;75538;;1118ZN;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;4569000;;Bestuurder;J.F.M.;;Morgan;M;;12888;5-9;1;N;N;23;1/11/05;1/3/66;;1/3/66;;1/1/10;2013;;KPMG;2007;2.623.000.000;202.000.000;3.841.000.000;;;
Hewlett-Packard The Hague B.V.;091166250000;000018061893;809519604;Hewlett-Packard The Hague B.V.;B.V.;H;Ingeschreven;4651;GH computers, randapparatuur en software;;;;;;Startbaan;16;;1187XR;AMSTELVEEN;Startbaan;16;;1187XR;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5476911;;Bestuurder;S.E.;;Letelier;M;;12;10-19;1;N;N;;11/4/02;11/9/00;;11/9/00;10/30/04;11/2/02;2012;Vastgesteld jaarstuk;Ernst & Young;2012;2.589.967.381;8.406.704.871;20.895.788.821;;;
Quattroduedue Holding B.V.;332666360000;000001400126;006902856;Quattroduedue Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;;;Kabelweg;37;;1014BA;AMSTERDAM;Kabelweg;37;;1014BA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5814032;;Bestuurder;B.M.;;Cornelissen;M;;6111;;0;N;N;;2/16/95;4/17/84;;4/17/84;;2/25/10;2012;Vastgesteld jaarstuk;KPMG;2012;2.572.309.000;-85.770.000;1.834.006.000;;;
Home Credit;341265970000;000017050030;808695976;Home Credit B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Strawinskylaan;933;;1077XX;AMSTERDAM;Strawinskylaan;933;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;8813120;;Bestuurder;M.G.;;Carvill;M;;44674;1;0;N;N;5;1/10/00;12/28/99;;12/28/99;;1/1/14;2013;Vastgesteld jaarstuk;KPMG;2013;2.542.470.000;324.437.000;9.313.367.000;;;PPF Group N.V.
ARCADIS N.V.;090512840000;000007035071;006292227;ARCADIS N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);;;;;Geactiveerd;Gustav Mahlerplein;97;103;1082MS;AMSTERDAM;Postbus;7895;;1008AB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;2011011;www.arcadis-global.com;Bestuurder;R.;;Vree;M;;21030;50-99;1;;;25;11/29/10;8/16/82;;8/16/82;;11/22/10;2013;Vastgesteld jaarstuk;KPMG;2013;2.515.920.000;96.603.000;1.680.438.000;AMX, EuroNext;ABN AMRO;
Blokker Holding B.V.;331349430000;000003095061;001618714;Blokker Holding B.V.;B.V.;H;Ingeschreven;6612;Commissionairs/makelaars in effecten ed;;;;;;Naarderstraat;50;;1251BD;LAREN;Postbus;6;;1250AA;LAREN;Laren;Noord-Holland;NL;035;5393333;www.blokkerholding.nl;Bestuurder;A.H.M.;van der;Horst;M;;16652;20-49;1;;;38;3/17/99;2/21/73;;2/21/73;;2/22/99;2014;Vastgesteld jaarstuk;BDO;2014;2.502.591.000;60.662.000;932.378.000;;ABN AMRO, ING Bank;
Perfetti Van Melle Group B.V.;241434280000;000008057508;005641020;Perfetti Van Melle Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Stationsplein-ZW;997;Tristar 3;1117CE;SCHIPHOL;Stationsplein-ZW;997;Tristar 3;1117CE;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;076;5275000;;Bestuurder;G.F.;;Nicolaï;M;;14233;;0;N;N;1;12/18/03;11/16/81;;11/16/81;;10/15/13;2013;Vastgesteld jaarstuk;Deloitte;2013;2.487.229.000;153.748.000;1.753.050.000;;ING Bank;
Eni G&P Trading;341336870000;000019496559;808951026;Eni G&P Trading B.V.;B.V.;H;Ingeschreven;46713;GH minerale olieproducten (geen brandst);4941;Goederenvervoer over weg (geen verhuiz.);;;;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;M.R.;;Galli;V;;;;1;N;N;;5/9/00;4/27/00;;4/27/00;;4/13/05;2012;Vastgesteld jaarstuk;E&Y;2012;2.436.534.769;41.174.284;291.585.864;;;
Denso Europe B.V.;320500770000;000019610351;800734853;Denso Europe B.V.;B.V.;H;Ingeschreven;2931;Verv. elektr(on)ische onderdelen auto's;;;;;;Hogeweyselaan;165;;1382JL;WEESP;Postbus;89;;1380AB;WEESP;Weesp;Noord-Holland;NL;0294;493493;;Bestuurder;K.;;Kobayashi;M;;291;100-199;1;J;J;;6/5/91;5/31/91;;5/31/91;5/31/91;5/31/91;2013;Vastgesteld jaarstuk;Deloitte;2013;2.432.562.000;22.876.000;1.432.005.000;;ABN AMRO, Citybank;
Draka Holding B.V.;331852530000;000003367096;801705812;Draka Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;;Geactiveerd;De Boelelaan;7;;1083HJ;AMSTERDAM;Postbus;75979;;1070AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5689865;www.draka.com;Bestuurder;W.G.E.;;Hendrikx;M;;9377;10-19;1;N;N;12;12/27/85;12/20/85;;12/20/85;;1/1/07;2014;;Deloitte;2010;2.427.800.000;4.600.000;1.826.700.000;;;
Gemalto N.V.;272550260000;000011053321;811547528;Gemalto N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Barbara Strozzilaan;382;;1083HN;AMSTERDAM;Barbara Strozzilaan;382;;1083HN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5620680;;Bestuurder;M.;;Soublin;M;;12000;10-19;1;J;N;1;7/2/04;12/10/02;;12/10/02;;12/1/08;2013;Vastgesteld jaarstuk;PwC;2013;2.388.607.000;257.896.000;2.919.179.000;EuroNext;;
Samvardhana Motherson Autom. Syst. Group B.V.;537097130000;000023569700;850985420;Samvardhana Motherson Automotive Systems Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Claude Debussylaan;24;;1082MD;AMSTERDAM;Postbus;11063;;1001GB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5222555;;Bestuurder;A.;;Heuser;M;;8994;;0;N;N;;10/7/11;10/7/11;;10/7/11;;;2014;Vastgesteld jaarstuk;PwC;2014;2.373.314.000;-7.132.000;848.929.000;;;
Tetra Laval B.V.;332158570000;000011014024;003330230;Tetra Laval B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;;;Herikerbergweg;108;A;1101CM;AMSTERDAM;Postbus;12159;;1100AD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3016777;;Bestuurder;M.;;Häfliger;M;;10043;;1;N;N;;12/18/89;5/20/74;;5/20/74;;6/1/08;2013;Vastgesteld jaarstuk;E&Y;2013;2.358.881.000;334.595.000;3.834.270.000;;ABN AMRO, ING Bank;
JT International Holding B.V.;320737490000;000016299434;807824173;JT International Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Bella Donna;4;;1181RM;AMSTELVEEN;Bella Donna;4;;1181RM;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;7213500;;Bestuurder;D.J.;;Ex;M;;47;20-49;1;;;;7/28/14;4/6/99;;4/6/99;;7/28/14;2013;Vastgesteld jaarstuk;Deloitte;2013;2.312.402.853;-68.746.916;16.415.986;;ABN AMRO;
Mitsubishi Electric Europe B.V.;332796020000;000017195675;804664328;Mitsubishi Electric Europe B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Capronilaan;46;;1119NS;SCHIPHOL-RIJK;Capronilaan;46;;1119NS;SCHIPHOL-RIJK;Haarlemmermeer;Noord-Holland;NL;020;6558500;;Bestuurder;K.;;Uruma;M;;2045;1000>;1;J;J;;4/18/96;4/17/96;;4/17/96;;10/1/96;2014;Vastgesteld jaarstuk;KPMG;2014;2.298.067.000;12.920.000;1.154.684.000;;ABN AMRO, ING Bank;
Delta Lloyd Levensverzekering N.V.;330014880000;000019664419;001674365;Delta Lloyd Levensverzekering N.V.;N.V.;H;Ingeschreven;65111;Levensverzekeringen (geen herverzekeren);;;;;Geactiveerd;Spaklerweg;4;;1096BA;AMSTERDAM;Postbus;1000;;1000BA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5943028;;Bestuurder;A.J.;;Paauw;M;;709;;0;N;N;;5/14/21;23-07-1892;;23-07-1892;;;2013;Vastgesteld jaarstuk;E&Y;2013;2.231.081.000;42.057.000;36.975.542.000;;ABN AMRO, F. van Lanschot, MeesPierson;Delta Lloyd N.V.
SRLEV N.V.;342974130003;000016461312;819158379;SRLEV N.V.;N.V.;H;Ingeschreven;65111;Levensverzekeringen (geen herverzekeren);;;;;Geactiveerd;Kruseman van Eltenweg;1;;1817BC;ALKMAAR;Kruseman van Eltenweg;1;;1817BC;ALKMAAR;Alkmaar;Noord-Holland;NL;072;5194194;;Bestuurder;W.H.;;Steenpoorte;M;;1790;;0;N;N;;9/1/09;3/17/08;;3/17/08;3/17/08;12/9/13;2013;;;2013;2.231.000.000;-416.000.000;51.989.000.000;;;SNS REAAL
Mattel Europa B.V.;332379280000;000018901182;800671934;Mattel Europa B.V.;B.V.;H;Ingeschreven;46494;Groothandel in speelgoed;7490;Overige special. zakelijke dienstverl.;;;Geactiveerd;Gondel;1;2e etage;1186MJ;AMSTELVEEN;Postbus;19;;1180AA;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5030503;;Bestuurder;R.;van den;Polder;M;;7829;50-99;1;J;J;;5/6/92;4/1/92;;4/1/92;;2/6/95;2012;Vastgesteld jaarstuk;PwC;2012;2.214.994.000;8.107.000;1.037.887.000;;ABN AMRO;
